Дата,Час,"Объем полного планового потребления, МВт.ч","Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.","Объем покупки по регулируемым договорам, МВт.ч","Объем покупки на РСВ, МВт.ч","Объем продажи в обеспечение РД, МВт.ч","Максимальный индекс равновесной цены, руб./МВт.ч","Минимальный индекс равновесной цены, руб./МВт.ч"
2021.11.25,0,93 041.251,992.73,8 403.485,77 862.209,3.434,2 187.99,733.62
2021.11.25,1,91 443.326,954.20,8 403.485,76 248.778,4.260,2 165.73,676.10
2021.11.25,2,91 102.625,925.48,8 403.485,75 911.882,20.799,2 151.98,654.04
2021.11.25,3,91 197.889,919.52,8 403.485,76 026.882,40.254,2 144.70,635.77
2021.11.25,4,92 850.559,994.66,8 403.485,77 692.535,36.568,2 161.05,689.07
2021.11.25,5,95 910.864,1 080.80,8 403.485,80 762.651,8.705,2 187.69,760.66
2021.11.25,6,100 314.901,1 369.13,21 493.376,72 107.270,3.835,1 935.95,985.94
2021.11.25,7,103 817.550,1 565.75,21 493.376,75 520.128,5.112,2 304.69,1 122.17
2021.11.25,8,107 274.419,1 686.94,18 069.057,82 458.787,26.565,2 447.47,1 287.43
2021.11.25,9,108 354.619,1 695.82,18 069.057,83 546.629,8.786,2 472.38,1 284.95
2021.11.25,10,108 577.128,1 687.05,18 069.057,83 716.730,15.856,2 289.20,1 269.79
2021.11.25,11,108 527.565,1 695.47,18 069.057,83 587.761,19.877,2 224.46,1 279.11
2021.11.25,12,107 860.422,1 687.76,18 069.057,82 942.225,22.911,2 228.20,1 277.64
2021.11.25,13,108 704.630,1 706.03,18 069.057,83 784.941,20.273,2 221.46,1 287.68
2021.11.25,14,108 737.733,1 706.60,18 069.057,83 815.096,23.142,2 226.64,1 307.40
2021.11.25,15,109 126.241,1 702.57,18 069.057,84 273.172,23.335,2 227.30,1 314.64
2021.11.25,16,109 597.581,1 692.65,18 069.057,84 790.713,11.035,2 239.09,1 274.49
2021.11.25,17,109 987.929,1 705.07,18 069.057,85 205.155,3.012,2 452.89,1 244.86
2021.11.25,18,109 185.691,1 688.57,33 914.778,68 572.960,24.211,2 444.36,1 209.19
2021.11.25,19,107 628.583,1 681.64,33 914.778,67 036.481,54.115,2 455.34,1 203.84
2021.11.25,20,105 339.139,1 533.43,33 914.778,64 801.507,91.517,2 410.60,1 040.85
2021.11.25,21,102 648.522,1 471.26,33 914.778,62 238.616,137.960,2 399.01,981.66
2021.11.25,22,98 690.205,1 151.28,8 403.485,83 617.494,4.165,2 241.15,827.85
