Дата,День,"Объем планового производства, МВт.ч","Индекс равновесных цен на продажу электроэнергии, руб./МВт.ч.","Объем продажи по регулируемым договорам, МВт.ч","Объем продажи на РСВ, МВт.ч","Объем покупки в обеспечение РД, МВт.ч","Максимальный индекс равновесной цены за период, руб./МВт.ч","Минимальный индекс равновесной цены за период, руб./МВт.ч"
2021.11.26,0,25 213.512,610.27,1 874.616,22 377.126,110.380,5 004.48,474.91
2021.11.26,1,25 681.747,629.04,1 936.600,22 803.800,130.803,5 004.48,474.92
2021.11.26,2,26 370.710,731.27,4 670.702,20 905.518,277.660,5 004.48,475.62
2021.11.26,3,27 071.590,638.19,4 727.264,21 545.753,273.577,5 004.48,475.62
2021.11.26,4,27 573.092,881.36,3 942.906,22 790.999,233.963,5 004.48,475.62
2021.11.26,5,27 956.380,935.43,3 942.906,23 169.287,233.963,5 004.48,475.62
2021.11.26,6,28 124.904,958.01,3 942.906,23 337.811,233.963,5 004.48,475.62
2021.11.26,7,28 016.482,961.67,3 942.906,23 229.389,233.963,5 004.48,475.62
2021.11.26,8,27 911.198,867.26,3 942.906,23 130.105,233.963,5 004.48,475.62
2021.11.26,9,27 787.348,733.33,3 942.906,23 080.432,302.290,5 004.48,474.92
2021.11.26,10,27 762.580,731.44,3 942.906,23 055.664,302.290,5 004.48,474.91
2021.11.26,11,27 857.753,732.25,3 942.906,23 148.584,300.037,5 004.48,474.91
2021.11.26,12,28 038.114,736.24,3 942.906,23 328.945,300.037,5 004.48,474.87
2021.11.26,13,28 394.173,749.71,3 928.789,23 715.500,322.416,5 004.48,474.87
2021.11.26,14,28 539.686,751.49,7 200.318,21 132.927,865.859,5 004.48,475.60
2021.11.26,15,28 166.975,744.25,7 200.318,20 820.352,925.995,5 004.48,474.85
2021.11.26,16,27 924.866,898.89,7 200.318,20 378.712,726.464,5 004.48,475.61
2021.11.26,17,27 536.971,696.70,7 095.889,20 126.226,751.444,5 004.48,475.60
2021.11.26,18,27 150.051,903.06,1 874.616,24 319.515,110.380,5 004.48,475.58
2021.11.26,19,26 464.304,873.32,1 874.616,23 639.530,116.142,5 004.48,475.58
2021.11.26,20,26 140.654,789.95,1 874.616,23 315.880,116.142,5 004.48,475.58
2021.11.26,21,25 783.188,740.20,1 874.616,22 975.455,133.183,5 004.48,475.57
2021.11.26,22,25 587.187,711.99,1 874.616,22 779.454,133.183,5 004.48,475.57
2021.11.26,23,25 427.330,652.51,1 874.616,22 619.597,133.183,5 004.48,475.57
2021.11.27,0,25 089.622,899.11,1 874.616,22 345.716,158.810,5 004.48,767.53
2021.11.27,1,25 245.751,900.66,1 936.600,22 456.769,175.718,5 004.48,767.55
2021.11.27,2,25 499.746,954.53,4 670.702,20 307.106,506.162,5 004.48,767.15
